CustID,Choice (0/1),Gender,Amount purchased,Frequency,Last purchase,First purchase,P_History,P_Science,P_Business,P_Educ,P_Health
21623,1,0,88,12,2,14,0,0,1,0,0
21626,1,1,37,12,2,14,0,1,0,1,0
21627,1,1,204,12,2,14,0,1,0,0,1
21632,1,1,276,10,2,14,0,0,1,1,0
21640,1,0,172,8,2,14,0,0,1,0,0
21648,1,1,266,6,2,14,0,0,0,1,1
21653,1,1,297,8,3,14,0,1,0,0,1
21654,1,0,203,12,1,12,0,0,0,1,0
21655,1,0,135,12,1,12,0,0,0,0,0
21656,1,0,256,12,1,12,0,0,0,0,1
21670,1,1,144,12,1,12,0,1,0,0,0
21671,1,1,130,12,1,12,0,0,0,1,0
21672,1,1,237,12,1,12,0,0,1,0,0
21673,1,1,272,12,1,12,0,0,0,0,0
21674,1,1,192,12,1,12,0,0,0,0,1
21675,1,1,97,12,1,12,0,0,0,0,1
21676,1,1,253,12,1,12,0,0,1,0,0
21721,1,1,254,10,2,12,0,0,1,0,1
21730,1,0,180,8,2,12,0,1,0,1,0
21731,1,0,147,8,2,12,0,0,0,0,1
21732,1,0,230,8,2,12,0,0,1,0,0
21734,1,1,118,8,2,12,0,0,0,1,0
21737,1,0,280,6,2,12,0,2,0,0,0
21744,1,0,122,2,3,12,0,0,0,0,1
21745,1,0,223,10,1,10,0,0,0,0,1
21746,1,0,48,10,1,10,0,1,0,0,0
21747,1,0,192,10,1,10,0,0,1,0,0
21748,1,0,174,10,1,10,0,0,0,0,1
21749,1,0,85,10,1,10,0,0,0,0,0
21750,1,0,179,10,1,10,0,0,0,0,1
21751,1,0,154,10,1,10,0,0,1,0,0
21752,1,0,271,10,1,10,0,0,0,0,1
21753,1,0,306,10,1,10,0,0,0,0,1
21762,1,1,161,10,1,10,0,0,0,0,1
21763,1,1,66,10,1,10,0,0,1,0,0
21764,1,1,295,10,1,10,0,0,1,0,0
21765,1,1,253,10,1,10,0,0,0,0,1
21766,1,1,262,10,1,10,0,0,0,1,0
21767,1,1,216,10,1,10,0,1,0,0,0
21768,1,1,241,10,1,10,0,0,1,0,0
21769,1,1,49,10,1,10,0,1,0,0,0
21770,1,1,216,10,1,10,0,0,0,0,0
21771,1,1,55,10,1,10,0,0,0,0,1
21772,1,1,76,10,1,10,0,0,0,0,1
21773,1,1,162,10,1,10,0,0,0,0,1
21806,1,1,312,8,2,10,0,0,0,1,0
21807,1,0,196,6,2,10,0,0,0,0,1
21808,1,0,78,6,2,10,0,0,0,0,0
21812,1,0,77,4,2,10,0,1,0,0,0
21815,1,0,249,2,2,10,0,0,1,0,1
21818,1,1,315,2,2,10,0,0,0,0,2
21819,1,1,305,2,2,10,0,0,1,1,0
21822,1,1,47,2,3,10,0,0,0,0,2
21823,1,0,151,8,1,8,0,0,0,1,0
21824,1,0,306,8,1,8,0,0,1,0,0
21825,1,0,228,8,1,8,0,0,0,0,1
21826,1,0,213,8,1,8,0,0,0,0,0
21827,1,0,183,8,1,8,0,0,0,0,1
21834,1,1,113,8,1,8,0,1,0,0,0
21835,1,1,274,8,1,8,0,0,0,0,1
21836,1,1,236,8,1,8,0,0,0,0,0
21837,1,1,313,8,1,8,0,0,0,0,0
34217,1,1,418,6,11,66,0,2,3,2,3
34218,1,1,391,6,10,64,0,0,5,1,2
34219,1,0,258,28,7,60,0,1,1,1,1
34228,1,1,311,14,9,50,0,1,2,1,0
34229,1,1,266,10,9,50,0,0,5,0,2
34230,1,0,148,6,9,48,0,1,1,1,2
34232,1,1,247,16,5,46,0,1,0,0,2
34233,1,1,154,10,7,46,0,2,0,1,1
34235,1,0,164,10,9,46,0,2,3,0,0
34238,1,0,384,2,7,44,0,1,1,3,2
34242,1,1,330,16,5,42,0,0,1,0,2
34251,1,0,202,10,6,40,0,0,0,0,3
34254,1,1,234,8,8,40,0,2,0,0,3
34265,1,1,172,14,5,38,0,0,1,2,1
34282,1,1,38,34,1,34,0,0,0,0,0
34291,1,1,245,18,4,34,0,0,0,0,1
34304,1,0,102,16,3,32,0,0,0,0,1
34307,1,0,194,16,4,32,0,0,1,1,2
34309,1,0,296,8,6,32,0,1,2,0,2
34313,1,1,288,30,1,30,0,0,0,1,0
34314,1,1,245,30,1,30,0,0,0,0,1
34334,1,1,249,14,4,30,0,0,0,0,2
34336,1,1,273,14,5,30,0,0,0,1,2
34338,1,0,274,10,5,30,0,1,1,0,2
34340,1,0,243,28,1,28,0,1,0,0,0
34357,1,0,285,16,4,28,0,0,3,0,0
34358,1,1,60,14,4,28,0,0,1,0,1
34361,1,1,289,4,6,28,0,0,2,1,1
34362,1,0,39,26,1,26,0,1,0,0,0
34370,1,0,100,22,2,26,0,0,0,1,1
34374,1,0,350,12,4,26,0,0,0,1,2
34375,1,1,75,4,4,26,0,1,0,1,0
34376,1,1,302,10,5,26,0,0,0,1,2
34377,1,1,149,2,5,26,0,1,1,0,3
34379,1,0,252,24,1,24,0,0,0,0,0
34380,1,0,253,24,1,24,0,0,1,0,0
34566,1,1,268,8,4,30,1,1,0,0,2
34573,1,0,139,10,9,30,1,3,1,2,0
34578,1,0,136,6,5,28,1,1,2,0,1
34579,1,1,150,6,5,28,1,0,2,1,0
34580,1,0,188,4,5,28,1,0,2,1,1
34594,1,0,122,8,7,26,1,0,2,1,1
34595,1,0,130,22,2,24,1,1,0,0,0
34599,1,1,243,16,2,24,1,0,1,0,0
34608,1,0,179,8,5,24,1,1,2,0,0
34609,1,1,232,2,5,24,1,2,0,0,0
34610,1,1,94,2,6,24,1,1,2,1,0
34620,1,1,239,14,2,22,1,0,1,0,0
34621,1,1,297,14,2,22,1,0,0,0,0
34654,1,0,139,12,2,20,1,0,0,0,0
34662,1,1,338,2,5,20,1,0,0,1,2
34670,1,1,247,16,2,18,1,0,0,0,0
34673,1,0,130,14,2,18,1,0,0,0,0
34681,1,1,302,12,2,18,1,0,1,0,0
34688,1,1,251,10,2,18,1,0,0,0,1
34689,1,1,88,10,2,18,1,0,0,0,0
34695,1,0,129,4,3,18,1,0,0,1,1
34698,1,1,159,4,7,18,1,0,1,0,1
34699,1,0,17,16,1,16,1,0,0,0,0
34704,1,1,249,16,1,16,1,0,0,0,0
34726,1,1,241,10,2,16,1,0,0,0,0
34727,1,1,299,10,2,16,1,0,1,0,0
34728,1,1,276,10,2,16,1,0,0,0,0
34733,1,0,90,2,3,16,1,0,1,1,0
34734,1,0,115,2,3,16,1,0,0,1,0
34735,1,1,72,6,4,16,1,0,1,0,2
34736,1,0,195,4,4,16,1,0,1,0,1
34738,1,0,285,14,1,14,1,0,0,0,0
34752,1,1,286,12,2,14,1,0,0,0,1
34755,1,1,74,10,2,14,1,0,0,0,1
34765,1,0,85,6,4,14,1,0,1,0,2
34783,1,0,225,8,2,12,1,0,0,0,0
34785,1,1,276,8,2,12,1,0,1,0,0
42530,1,1,315,14,4,24,0,1,0,0,1
42531,1,0,287,12,4,24,0,3,0,0,1
42538,1,1,274,22,1,22,0,0,0,0,0
42548,1,1,73,16,2,22,0,1,0,0,1
42549,1,1,318,16,2,22,0,0,0,0,1
42558,1,1,204,14,2,22,0,0,1,0,0
42559,1,1,211,14,2,22,0,0,1,0,1
42560,1,1,290,14,2,22,0,1,0,0,1
42565,1,1,187,16,3,22,0,0,1,0,1
42568,1,0,213,10,3,22,0,1,0,0,2
42572,1,0,352,2,6,22,0,2,1,0,2
42573,1,0,183,20,1,20,0,0,0,0,1
42583,1,0,229,16,2,20,0,0,1,0,0
42588,1,0,142,14,2,20,0,0,0,0,1
42589,1,0,126,14,2,20,0,0,1,1,0
42590,1,0,222,14,2,20,0,0,0,0,1
42593,1,1,64,14,2,20,0,0,0,0,2
42598,1,0,230,12,2,20,0,0,1,0,0
42599,1,0,111,12,2,20,0,0,0,0,0
42605,1,0,316,12,3,20,0,0,0,0,1
42606,1,0,148,6,4,20,0,1,1,0,2
42607,1,1,267,2,4,20,0,1,1,0,1
42608,1,1,133,2,8,20,0,2,2,0,0
42617,1,0,240,16,2,18,0,1,1,0,0
42619,1,1,125,16,2,18,0,0,0,0,0
42624,1,0,321,14,2,18,0,0,0,1,1
42625,1,0,274,14,2,18,0,0,0,0,1
42629,1,1,72,14,2,18,0,0,0,0,1
42634,1,0,187,12,2,18,0,0,1,0,0
42639,1,1,179,12,2,18,0,1,0,0,1
42649,1,0,251,10,2,18,0,0,2,0,0
42650,1,0,193,10,2,18,0,0,1,0,1
42652,1,1,163,10,2,18,0,0,1,0,0
42660,1,0,119,4,3,18,0,0,1,0,0
42661,1,0,320,2,3,18,0,0,0,1,2
42666,1,0,287,16,1,16,0,0,0,0,0
42667,1,0,36,16,1,16,0,0,1,0,0
42668,1,0,28,16,1,16,0,0,0,0,0
42669,1,0,81,16,1,16,0,0,0,1,0
42670,1,0,243,16,1,16,0,0,0,0,1
42683,1,1,272,16,1,16,0,0,0,0,1
42684,1,1,229,16,1,16,0,0,0,0,0
42685,1,1,75,16,1,16,0,0,0,0,0
42686,1,1,59,16,1,16,0,0,0,1,0
42723,1,0,276,14,2,16,0,0,0,0,1
42732,1,0,287,12,2,16,0,0,0,0,0
42734,1,1,281,12,2,16,0,0,1,0,1
42744,1,0,102,10,2,16,0,0,1,0,1
42746,1,1,307,10,2,16,0,0,0,0,2
42747,1,1,35,10,2,16,0,0,0,1,1
42752,1,0,72,8,2,16,0,1,0,0,1
42758,1,1,340,8,3,16,0,0,0,0,2
42759,1,1,175,8,3,16,0,0,2,0,1
42760,1,1,82,6,3,16,0,1,0,1,0
42762,1,1,237,6,4,16,0,0,1,0,3
42764,1,1,127,2,4,16,0,1,0,1,1
42766,1,0,18,14,1,14,0,1,0,0,0
42767,1,0,181,14,1,14,0,0,0,0,0
42768,1,0,206,14,1,14,0,0,0,0,0
42769,1,0,33,14,1,14,0,0,0,0,1
42780,1,1,177,14,1,14,0,0,0,1,0
42781,1,1,80,14,1,14,0,0,0,1,0
42782,1,1,248,14,1,14,0,0,1,0,0
42783,1,1,143,14,1,14,0,0,0,0,0
44433,1,1,168,6,2,12,1,0,0,0,1
44436,1,0,115,4,2,12,1,0,1,0,0
44437,1,0,322,4,2,12,1,0,0,1,0
44444,1,1,250,10,1,10,1,0,0,0,0
44445,1,1,280,10,1,10,1,0,0,0,0
44461,1,1,108,6,2,10,1,0,1,0,0
44467,1,0,171,2,2,10,1,0,1,0,0
44471,1,0,304,2,3,10,1,0,0,0,1
44473,1,0,103,8,1,8,1,0,0,0,0
44474,1,0,285,8,1,8,1,0,0,0,0
44481,1,1,307,8,1,8,1,0,0,0,0
44490,1,0,118,6,2,8,1,0,0,0,0
44491,1,1,163,6,2,8,1,0,1,0,0
44494,1,0,256,4,2,8,1,0,1,0,0
44495,1,1,314,4,2,8,1,0,0,1,0
44496,1,1,303,4,2,8,1,0,0,0,0
44499,1,1,235,2,2,8,1,0,0,0,0
44504,1,1,65,6,1,6,1,0,0,0,0
44505,1,1,92,6,1,6,1,0,0,0,0
44516,1,0,228,4,2,6,1,0,1,0,0
44517,1,0,140,4,2,6,1,0,0,0,0
44521,1,0,80,2,2,6,1,0,1,0,0
44524,1,0,17,4,1,4,1,0,0,0,0
44535,1,0,216,2,2,4,1,0,0,1,0
44537,1,0,314,2,1,2,1,0,0,0,0
44538,1,0,165,2,1,2,1,0,0,0,0
44539,1,0,292,2,1,2,1,0,0,0,0
44543,1,1,140,2,1,2,1,0,0,0,0
44544,1,1,183,2,1,2,1,0,0,0,0
44545,1,1,245,2,1,2,1,0,0,0,0
44552,1,0,330,14,12,84,2,0,3,3,3
44557,1,1,215,6,11,66,2,1,4,1,2
44560,1,1,176,8,11,64,2,0,2,0,3
44562,1,1,198,2,12,62,2,3,2,1,2
44563,1,1,355,10,10,60,2,0,2,1,3
44568,1,0,352,16,7,56,2,0,1,1,0
44572,1,1,277,14,7,54,2,0,0,1,3
44575,1,0,243,12,9,52,2,1,1,1,3
44576,1,0,400,6,11,52,2,0,4,2,3
44579,1,0,191,16,8,50,2,1,1,1,1
44580,1,1,222,14,9,50,2,1,1,1,4
44584,1,1,315,12,10,48,2,1,1,2,2
44590,1,1,159,10,9,46,2,0,1,0,5
44591,1,0,410,12,11,46,2,0,4,2,2
44592,1,1,474,12,12,46,2,1,1,1,4
44599,1,1,180,16,5,42,2,0,0,1,1
44600,1,0,97,16,6,42,2,1,2,0,1
44607,1,1,385,4,9,40,2,0,2,2,2
44608,1,0,185,10,10,40,2,1,3,1,2
44612,1,1,138,10,7,38,2,0,0,0,1
44615,1,1,261,6,11,38,2,0,3,3,2
44616,1,1,404,4,11,38,2,1,1,2,2
44617,1,1,339,10,6,36,2,1,0,0,2
44618,1,1,210,2,6,36,2,0,1,0,1
44626,1,1,336,18,6,32,2,0,1,1,2
44628,1,1,202,8,11,32,2,0,1,1,2
44632,1,1,263,4,6,30,2,0,2,1,1
44638,1,0,338,16,5,28,2,1,1,1,0
44640,1,0,219,10,6,28,2,0,1,0,2
44649,1,0,385,4,10,26,2,0,1,3,0
44654,1,0,234,8,5,24,2,0,0,1,2
44660,1,0,270,4,4,22,2,2,0,0,0
44662,1,0,244,6,5,22,2,1,0,0,1
44663,1,0,356,4,6,22,2,1,0,1,0
44664,1,1,207,4,7,22,2,1,1,0,1
44665,1,1,428,2,9,22,2,1,1,0,2
44666,1,0,360,2,10,22,2,1,1,3,1
44672,1,0,200,16,2,18,2,0,0,0,0
44676,1,0,343,4,4,18,2,1,0,0,1
44686,1,0,273,10,2,12,2,0,0,0,0
44688,1,0,267,6,3,12,2,0,0,0,0
44689,1,0,145,6,3,12,2,0,0,1,0
44690,1,0,223,2,3,12,2,0,0,0,1
44692,1,0,248,6,2,10,2,0,0,0,0
44695,1,0,218,4,2,6,2,0,0,0,0
44699,1,1,451,12,11,78,3,0,3,0,3
44702,1,1,322,12,12,74,3,2,1,1,4
44703,1,1,367,12,12,72,3,0,3,0,1
44709,1,1,351,10,9,62,3,1,2,1,2
44710,1,1,224,10,10,62,3,0,2,0,3
44724,1,1,393,12,11,50,3,0,3,0,2
44728,1,0,414,2,8,46,3,1,0,0,3
44731,1,0,403,12,8,44,3,1,1,2,1
44735,1,1,235,10,9,40,3,0,1,1,1
44736,1,0,407,12,12,40,3,0,1,3,2
44737,1,0,248,16,8,38,3,0,2,1,1
44738,1,1,246,12,11,38,3,0,4,0,0
44741,1,1,377,8,11,36,3,2,3,0,1
44742,1,1,372,4,12,36,3,0,2,2,3
44751,1,0,331,4,7,28,3,0,2,0,2
44758,1,1,336,2,10,24,3,0,0,0,2
44768,1,0,183,8,12,66,4,0,2,1,4
44782,1,0,371,6,11,40,4,1,4,1,0
44784,1,0,339,12,11,38,4,0,1,1,2
44785,1,1,256,2,11,38,4,2,3,0,1
44786,1,0,386,6,11,36,4,0,1,0,2
44787,1,1,385,2,9,34,4,1,0,1,2
44790,1,0,264,4,12,30,4,2,2,0,1
44792,1,1,374,2,10,26,4,3,0,0,3
44796,1,0,405,6,12,70,5,0,0,2,3
44797,1,1,318,14,9,66,5,1,0,0,1
44798,1,1,280,6,11,66,5,1,1,0,1
44800,1,0,283,8,12,62,5,0,4,0,1
44810,1,1,396,12,12,68,6,0,3,0,2
53281,1,0,137,6,2,8,0,1,0,1,0
53284,1,1,257,6,2,8,0,0,2,0,0
53290,1,0,309,4,2,8,0,0,1,0,0
53291,1,0,265,4,2,8,0,0,0,2,0
53295,1,1,251,4,2,8,0,0,0,0,1
53296,1,1,235,4,2,8,0,0,2,0,0
53297,1,1,264,4,2,8,0,0,0,1,1
53300,1,0,190,2,2,8,0,0,0,1,1
53301,1,0,110,2,2,8,0,0,2,0,0
53305,1,1,240,2,2,8,0,1,0,0,1
53306,1,1,213,2,2,8,0,0,0,0,1
53307,1,1,57,2,2,8,0,0,1,0,1
53308,1,1,319,2,2,8,0,0,0,1,1
53312,1,1,55,2,3,8,0,1,0,0,1
53313,1,0,97,6,1,6,0,0,0,0,1
53314,1,0,179,6,1,6,0,1,0,0,0
53315,1,0,84,6,1,6,0,0,0,0,0
53320,1,1,308,6,1,6,0,0,0,0,1
53321,1,1,250,6,1,6,0,0,0,1,0
53322,1,1,181,6,1,6,0,0,0,0,1
53323,1,1,304,6,1,6,0,0,0,0,1
53324,1,1,206,6,1,6,0,0,0,0,1
53325,1,1,41,6,1,6,0,0,0,0,1
53342,1,0,165,4,2,6,0,0,0,0,2
53344,1,1,89,4,2,6,0,0,0,0,1
53345,1,1,120,4,2,6,0,0,2,0,0
53347,1,0,74,2,2,6,0,0,0,1,1
53350,1,1,303,2,2,6,0,1,0,0,1
53355,1,0,90,4,1,4,0,0,0,0,0
53356,1,0,129,4,1,4,0,0,0,0,0
53357,1,0,230,4,1,4,0,0,0,0,1
53358,1,0,145,4,1,4,0,0,0,0,0
53369,1,1,268,4,1,4,0,0,0,0,0
53370,1,1,170,4,1,4,0,0,1,0,0
53371,1,1,276,4,1,4,0,1,0,0,0
53372,1,1,253,4,1,4,0,0,1,0,0
53389,1,0,77,2,2,4,0,0,1,0,1
53390,1,0,252,2,2,4,0,0,1,0,1
53394,1,1,84,2,2,4,0,0,0,0,1
53395,1,1,43,2,2,4,0,1,1,0,0
53396,1,1,229,2,2,4,0,0,0,0,1
53397,1,1,290,2,2,4,0,0,0,0,1
53398,1,1,237,2,2,4,0,0,1,0,1
53400,1,0,274,2,1,2,0,0,1,0,0
53401,1,0,53,2,1,2,0,0,0,0,1
53402,1,0,187,2,1,2,0,0,0,0,0
53403,1,0,145,2,1,2,0,0,1,0,0
53404,1,0,278,2,1,2,0,0,1,0,0
53405,1,0,183,2,1,2,0,1,0,0,0
53412,1,1,44,2,1,2,0,0,1,0,0
53413,1,1,70,2,1,2,0,0,0,0,0
53414,1,1,310,2,1,2,0,0,0,0,0
53415,1,1,291,2,1,2,0,0,0,0,1
53416,1,1,22,2,1,2,0,0,0,0,1
53417,1,1,216,2,1,2,0,0,0,0,0
53418,1,1,34,2,1,2,0,0,0,0,1
53419,1,1,41,2,1,2,0,0,0,0,1
53420,1,1,183,2,1,2,0,0,1,0,0
53441,1,1,444,28,10,82,1,1,1,3,2
53443,1,0,220,28,7,70,1,0,0,1,2
53445,1,1,273,30,9,68,1,3,0,1,1
53446,1,1,255,6,11,68,1,2,2,2,3
53448,1,1,184,10,10,66,1,2,1,1,3
53453,1,0,376,4,10,60,1,2,2,3,1
53456,1,0,406,8,10,58,1,0,3,2,1
53464,1,1,292,12,7,52,1,1,1,0,3
53465,1,1,232,8,8,52,1,2,2,0,0
53471,1,0,169,4,11,50,1,0,2,4,3
53472,1,1,338,4,12,50,1,4,1,1,2
53474,1,1,331,10,7,48,1,0,1,0,2
53477,1,0,165,2,11,48,1,0,3,2,0
53482,1,0,155,30,6,44,1,0,3,0,0
53487,1,1,396,12,9,44,1,2,2,0,1
53491,1,1,282,16,6,42,1,1,0,0,2
53498,1,1,261,14,7,40,1,1,0,0,4
53504,1,0,212,16,5,38,1,0,1,2,0
53505,1,0,257,20,6,38,1,0,0,0,1
53506,1,0,345,14,6,38,1,1,1,0,2
53508,1,1,115,8,7,38,1,2,1,1,2
53516,1,1,176,20,3,36,1,0,1,0,1
53519,1,1,233,16,4,36,1,0,0,1,0
53520,1,0,198,16,5,36,1,0,1,1,2
53521,1,1,216,14,5,36,1,0,1,0,3
53523,1,1,361,6,6,36,1,0,2,0,2
53530,1,0,227,30,2,34,1,0,0,0,1
53537,1,0,259,14,7,34,1,0,3,0,1
53538,1,1,219,10,7,34,1,1,1,0,1
53539,1,0,280,10,8,34,1,1,4,0,0
53540,1,1,400,10,10,34,1,0,1,1,3
53542,1,1,303,28,2,32,1,0,0,0,1
53547,1,1,224,10,4,32,1,1,1,0,1
53551,1,0,299,6,5,32,1,2,1,1,0
53554,1,0,418,16,8,32,1,1,1,2,3
53555,1,1,165,12,8,32,1,2,1,2,1
53558,1,1,386,4,11,32,1,2,2,1,1
